SINGLE PRECISION TESTING
-------------------------------------------------------------------
KERNEL 6: 24576.000000, 0.010240 ms
KERNEL 6: 24576.000000, 0.010336 ms
KERNEL 6: 24576.000000, 0.010240 ms
KERNEL 6: 24576.000000, 0.011200 ms
KERNEL 6: 24576.000000, 0.011168 ms
KERNEL 6: 24576.000000, 0.011136 ms
KERNEL 6: 24576.000000, 0.011264 ms
KERNEL 6: 24576.000000, 0.010464 ms
CUB::REDUCE: 24576.000000, 0.032768 ms
THRUST::REDUCE: 24576.000000, 0.107936 ms
-------------------------------------------------------------------



-------------------------------------------------------------------
Input Size: 32768 (0.000131 GB)
NO THREAD: 49152.000000, 0.091739 ms
THREAD: 49152.000000, 1.788779 ms
KERNEL 1: 49152.000000, 0.578560 ms
KERNEL 2: 49152.000000, 0.057440 ms
KERNEL 3: 49152.000000, 0.030624 ms
KERNEL 4: 49152.000000, 0.028384 ms
KERNEL 5: 49152.000000, 0.027936 ms
KERNEL 6: 49152.000000, 0.026432 ms
KERNEL 6: 49152.000000, 0.009216 ms
KERNEL 6: 49152.000000, 0.009216 ms
KERNEL 6: 49152.000000, 0.010016 ms
KERNEL 6: 49152.000000, 0.010240 ms
KERNEL 6: 49152.000000, 0.009824 ms
KERNEL 6: 49152.000000, 0.010240 ms
KERNEL 6: 49152.000000, 0.010240 ms
KERNEL 6: 49152.000000, 0.011264 ms
KERNEL 6: 49152.000000, 0.011008 ms
KERNEL 6: 49152.000000, 0.011264 ms
KERNEL 6: 49152.000000, 0.011328 ms
KERNEL 6: 49152.000000, 0.012256 ms
KERNEL 6: 49152.000000, 0.012992 ms
KERNEL 6: 49152.000000, 0.012864 ms
KERNEL 6: 49152.000000, 0.012992 ms
CUB::REDUCE: 49152.000000, 0.032512 ms
THRUST::REDUCE: 49152.000000, 0.121280 ms
-------------------------------------------------------------------



-------------------------------------------------------------------
Input Size: 65536 (0.000262 GB)
NO THREAD: 98304.000000, 0.183383 ms
THREAD: 98304.000000, 0.015821 ms
KERNEL 1: 98304.000000, 1.150496 ms
KERNEL 2: 98304.000000, 0.101408 ms
KERNEL 3: 98304.000000, 0.033440 ms
KERNEL 4: 98304.000000, 0.030144 ms
KERNEL 5: 98304.000000, 0.029504 ms
KERNEL 6: 98304.000000, 0.030912 ms
KERNEL 6: 98304.000000, 0.009216 ms
KERNEL 6: 98304.000000, 0.010208 ms
KERNEL 6: 98304.000000, 0.009216 ms
KERNEL 6: 98304.000000, 0.010240 ms
KERNEL 6: 98304.000000, 0.009952 ms
KERNEL 6: 98304.000000, 0.009792 ms
KERNEL 6: 98304.000000, 0.027648 ms
KERNEL 6: 98304.000000, 0.010944 ms
KERNEL 6: 98304.000000, 0.010976 ms
KERNEL 6: 98304.000000, 0.011264 ms
KERNEL 6: 98304.000000, 0.011904 ms
KERNEL 6: 98304.000000, 0.013056 ms
KERNEL 6: 98304.000000, 0.012288 ms
KERNEL 6: 98304.000000, 0.012384 ms
KERNEL 6: 98304.000000, 0.013984 ms
CUB::REDUCE: 98304.000000, 0.016608 ms
THRUST::REDUCE: 98304.000000, 0.100896 ms
-------------------------------------------------------------------



-------------------------------------------------------------------
Input Size: 131072 (0.000524 GB)
NO THREAD: 196608.000000, 0.366732 ms
THREAD: 196608.000000, 0.768742 ms
KERNEL 1: 196608.000000, 2.293760 ms
KERNEL 2: 196608.000000, 0.190080 ms
KERNEL 3: 196608.000000, 0.039072 ms
KERNEL 4: 196608.000000, 0.033056 ms
KERNEL 5: 196608.000000, 0.031520 ms
KERNEL 6: 196608.000000, 0.031808 ms
